Real CCN,Real SSN,Real FN,Real LN,Trust CCN,Trust SSN,Trust FN,Trust LN,TrustCreditCardFuzzFields,TrustCreditCardFuzzMethod,TrustConsumerFuzzFields,TrustConsumerFuzzMethod,Debt CCN,Debt SSN,Debt FN,Debt LN,DebtCreditCardFuzzFields,DebtCreditCardFuzzMethod,DebtConsumerFuzzFields,DebtConsumerFuzzMethod
'5135897904507309',886-56-0010,Zaundra,Sondrini,'5135897904507309',886-56-0010,Zaundra,Sondrini,0,0,0,0,'5135897904507309',886-56-0010,Zaundra,Sondrini,0,0,0,0
'5577655870033732',122-87-0745,Kameelah,Bodenstein,'5577655870033732',128-27-0745,Kameelah,Bodenstein,0,0,4,4,'5577655870033732',122-87-0745,Kameelah,Bodenstein,0,0,0,0
'5492994377421294',171-85-1629,Mercede,Swilley,'5492994377421294',171-85-1629,Mercede,Swilley,0,0,0,0,'5492994377421294',171-85-1629,Mercede,Swilley,0,0,0,0
'4030713438726934',993-55-7655,Darrold,Bob-manuel,'4030713438726934',993-55-7655,Darrold,Bob-manuel,0,0,0,0,'4030713438726934',993-55-7655,Darrold,Bob-manuel,0,0,0,0
'4296098650933215',993-55-7655,Darrold,Bob-manuel,'4296098650933215',993-55-7655,Darrold,Bob-manuel,0,0,0,0,'4296098650933215',993-55-7655,Darrold,Bob-manuel,0,0,0,0
'7520801856020319',471-90-3700,Menee,Nyland,'7520801856020319',471-90-3700,Menee,Nyland,0,0,0,0,'7520801856020319',471-90-3700,Menee,Nyland,0,0,0,0
'5815272175831665',390-80-2540,Celinda,Drengberg,'5815272175831665',390-80-2540,Celinda,Drengberg,0,0,0,0,'5815272175831665',390-80-2540,Celinda,Drengberg,0,0,0,0
'7787109928625595',061-61-2155,Thao,Cannavino,'7787109928625595',066-11-2155,Thao,Cannavino,0,0,4,4,'7787109928625595',061-61-2155,Thao,Cannavino,0,0,0,0
'5458311887542541',657-90-8519,Sabra,Gasse,'4558311887542541',657-90-8519,Sabra,Gasse,1,4,0,0,'5458311887542541',657-90-8519,Sabra,Gasse,0,0,0,0
'4636565283471950',657-90-8519,Sabra,Gasse,'4636565283471950',657-90-8519,Sabra,Gasse,0,0,0,0,'4636565283471950',657-90-8519,Sabra,Gasse,0,0,0,0
'4237291950414312',516-58-9366,Amr,Foytik,'4237291950414312',516-58-9366,Amr,Foytik,0,0,0,0,'4237291950414312',516-58-9366,Amr,Foytik,0,0,0,0
'5211832086941513',195-68-3543,Griselda,Bristol,'5211832086941513',195-68-3543,Bristol,Griselda,0,0,3,32,'5211832086941513',195-68-3543,Griselda,Bristol,0,0,0,0
'5643336010271377',339-88-7458,Dwaine,Mcelyea,'5643336010271377',339-88-7458,Dwaine,Mcelyea,0,0,0,0,'5643336010271377',339-88-7458,Dwaine,Mcelyea,0,0,0,0
'5900855057438686',354-36-3916,,Schell,'5900855057438686',354-36-3916,,Schell,0,0,0,0,'5900855057438686',354-36-3916,,Schell,0,0,0,0
'7678166466305598',354-36-3916,,Schell,'7678166466305598',354-36-3916,,Schell,0,0,0,0,'7678166466305598',354-36-3916,,Schell,0,0,0,0
'5027495835701069',999-09-3989,,Zachem-deberry,'5027495835701069',999-09-3989,,Zachem-deberry,0,0,0,0,'5027495835701069',999-09-3989,,Zachem-deberry,0,0,0,0
'7166090904421895',147-09-6535,Senella,Casserly,'7166090904421895',147-09-653,Senella,Casserly,0,0,4,256,'7166090904421895',147-09-6535,Senella,Casserly,0,0,0,0
'4948158367708524',147-09-6535,Senella,Casserly,'4948158367708524',147-09-653,Senella,Casserly,0,0,4,256,'4948158367708524',147-09-6535,Senella,Casserly,0,0,0,0
'4196110072697549',038-30-0184,Young,Tanzosch,'4196110072697549',038-30-0184,Young,Tanzosch,0,0,0,0,'4196110072697549',038-30-0184,Young,Tanzosch,0,0,0,0
'4960898042402825',068-61-9881,Duray,Weatherford,'49B60898042402825',068-61-9881,Duray,Weatherford,1,2048,0,0,'4960898042402825',068-61-9881,Duray,Weatherford,0,0,0,0
'4216045970700639',630-80-7613,Maria,Hanchett,'4216045970700639',630-80-7613,M,Hanchett,0,0,1,1,'4216045970700639',630-80-7613,Maria,Hanchett,0,0,0,0
'4472411756908497',868-09-0909,Fresler,,'4472411756980497',868-09-0909,Fresler,,1,4,0,0,'4472411756908497',868-09-0909,Fresler,,0,0,0,0
'5023575649582261',942-00-6752,Hiep,Funderburk,'5023575649582261',492-00-6752,Hiep,Funderburk,0,0,4,4,'5023575649582261',942-00-6752,Hiep,Funderburk,0,0,0,0
'4727750711566390',676-65-2925,Forn,Ziobert,'4727750711D566390',676-65-2925,Forn,Ziobert,1,2048,0,0,'4727750711566390',676-65-2925,Forn,Ziobert,0,0,0,0
'5481402376610186',676-65-2925,Forn,Ziobert,'5481402376610186',676-65-2925,Forn,Ziobert,0,0,0,0,'5481402376610186',676-65-2925,Forn,Ziobert,0,0,0,0
'5607508603784909',787-72-1370,Marivette,Healer,'5607508603784909',787-72-1370,Marivette,Healer,0,0,0,0,'5607508603784909',787-72-1370,Marivette,Healer,0,0,0,0
'4852638591411288',087-58-1340,Gay,Challoner,'4852638591411288',087-58-1340,Gay,Challoner,0,0,0,0,'4852638591411288',087-58-1340,Gay,Challoner,0,0,0,0
'7616785244690782',145-94-4188,Nelida,Shoup,'7616785244690782',845-94-4181,Nelida,Shoup,0,0,4,4,'7616785244690782',145-94-4188,Nelida,Shoup,0,0,0,0
'5450115780289681',336-75-8431,Ahsanuddin,Wykle,'5450115780289681',336-75-8431,Ahsanuddin,Wykle,0,0,0,0,'5450115780289681',336-75-8431,Ahsanuddin,Wykle,0,0,0,0
'4875263315735459',336-75-8431,Ahsanuddin,Wykle,'4875263315735459',336-75-8431,Ahsanuddin,Wykle,0,0,0,0,'4875263315735459',336-75-8431,Ahsanuddin,Wykle,0,0,0,0
'7939068558013428',362-59-5971,Shani,Criscola,'7939068558013428',362-59-5971,Shani,Criscola,0,0,0,0,'7939068558013428',362-59-5971,Shani,Criscola,0,0,0,0
'7084453491712112',878-98-8943,Ilona,Study,'7084453491712112',878-98-8943,Ilona,Study,0,0,0,0,'7084453491712112',878-98-8943,Ilona,Study,0,0,0,0
'4560480336619445',704-31-5720,Andreas,Amihere,'4560480336619445',704-31-5720,Andreas,Amihere,0,0,0,0,'4560480336619445',704-31-5720,Andreas,Amihere,0,0,0,0
'5046208315189913',358-37-8009,Jamikal,Heffley,'5046208315189913',358-37-8009,Jamikal,Heffley,0,0,0,0,'5046208315189913',358-37-8009,Jamikal,Heffley,0,0,0,0
'5595781620964220',486-44-5558,Toccara,Berenguer,'5595781620964220',486-44-5558,Toccara,Berenguer,0,0,0,0,'5595781620964220',486-44-5558,Toccara,Berenguer,0,0,0,0
'5152739358640419',884-16-9512,,Cokmann,'5152793358640419',884-16-9521,,Cokmann,1,4,4,4,'5152739358640419',884-16-9512,,Cokmann,0,0,0,0
'5529717479498557',520-47-8775,Collie,Aribu,'5529717F479498557',520-47-8775,Collie,Aribu,1,2048,0,0,'5529717479498557',520-47-8775,Collie,Aribu,0,0,0,0
'4008671750467360',744-55-4257,Willin,Schouest,'4008671750467360',744-54-5257,Willin,Schouest,0,0,4,4,'4008671750467360',744-55-4257,Willin,Schouest,0,0,0,0
'4135745977076512',105-94-4121,Maxwell,Ruland,'4135745977067512',105-94-4121,Maxwell,Ruland,1,4,0,0,'4135745977076512',105-94-4121,Maxwell,Ruland,0,0,0,0
'7081146125589739',591-61-4218,,Jeroslow,'7081146125589739',596-11-4218,,Jeroslow,0,0,4,4,'7081146125589739',591-61-4218,,Jeroslow,0,0,0,0
'7425277719912420',680-09-2685,Roby,Heatley,'7425277719912420',680-09-2685,Roby,Heatley,0,0,0,0,'7425277719912420',680-09-2685,Roby,Heatley,0,0,0,0
'4738554246009393',415-36-1387,Genodria,Wolfe-nobles,'4738554246009393',415-36-1387,Genodria,Wolfe-nobles,0,0,0,0,'4738554246009393',415-36-1387,Genodria,Wolfe-nobles,0,0,0,0
'5105757343660613',415-36-1387,Genodria,Wolfe-nobles,'5105757343660613',415-36-1387,Genodria,Wolfe-nobles,0,0,0,0,'5105757343660613',415-36-1387,Genodria,Wolfe-nobles,0,0,0,0
'4208387633266589',215-80-9195,Belki,Dalrymple,'4280387633266589',215-80-9915,Belki,Dalrymple,1,4,4,4,'4208387633266589',215-80-9195,Belki,Dalrymple,0,0,0,0
'5247012346567607',912-67-8318,Harriet,Castro-feinberg,'247012346567607',912-67-8318,Harriet,Castro-feinberg,1,128,0,0,'5247012346567607',912-67-8318,Harriet,Castro-feinberg,0,0,0,0
'5048174626958195',235-96-5908,Elon,,'5048174626958195',235-96-5908,Elon,,0,0,0,0,'5048174626958195',235-96-5908,Elon,,0,0,0,0
'5911382229503360',835-97-5864,Farrah,Strawser,'5911382229503360',835-97-5864,Farrah,Strawser-Pestine,0,0,2,1024,'5911382229503360',835-97-5864,Farrah,Strawser,0,0,0,0
'7973480407274348',281-93-6089,Leeisa,Baguidy,'7973840407274348',218-93-6089,Leeisa,Baguidy,1,4,4,4,'7973480407274348',281-93-6089,Leeisa,Baguidy,0,0,0,0
'5540424000653082',844-04-5317,Ricio,Bassaline,'5540424000653082',844-04-5317,Ricio,Bassaline,0,0,0,0,'5540424000653082',844-04-5317,Ricio,Bassaline,0,0,0,0
'4962873769822294',965-81-9453,,Coyner,'4962873769822294',965-81-9453,,Coyner,0,0,0,0,'4962873769822294',965-81-9453,,Coyner,0,0,0,0
'4608109913127594',965-81-9453,,Coyner,'4608109913127594',965-81-9453,,Coyner,0,0,0,0,'4608109913127594',965-81-9453,,Coyner,0,0,0,0
'4517094133281946',965-81-9453,,Coyner,'4517094133281946',965-81-9453,,Coyner,0,0,0,0,'4517094133281946',965-81-9453,,Coyner,0,0,0,0
'4389885177078923',965-81-9453,,Coyner,'4389885177078923',965-81-9453,,Coyner,0,0,0,0,'4389885177078923',965-81-9453,,Coyner,0,0,0,0
'7782741425380497',647-08-3767,Shebella,Zinge,'7782741425380947',647-08-3767,Shebella,Zinge,1,4,0,0,'7782741425380497',647-08-3767,Shebella,Zinge,0,0,0,0
'7071603908513607',842-32-7804,Clove,Ruda,'7071603908513607',842-32-7804,Clove,Ruda,0,0,0,0,'7071603908513607',842-32-7804,Clove,Ruda,0,0,0,0
'7584049943000095',842-32-7804,Clove,Ruda,'7584049943000095',842-32-7804,Clove,Ruda,0,0,0,0,'7584049943000095',842-32-7804,Clove,Ruda,0,0,0,0
'5872258894143084',287-32-0539,Sanita,Handrahan,'5827258894143084',287-23-0539,Sanita,Handrahan,1,4,4,4,'5872258894143084',287-32-0539,Sanita,Handrahan,0,0,0,0
'4196253298418645',378-13-3906,Nora-eve,Swallow,'4196253298418645',378-13-3906,Nora-eve,Swallow,0,0,0,0,'4196253298418645',378-13-3906,Nora-eve,Swallow,0,0,0,0
'4187540273921415',378-13-3906,Nora-eve,Swallow,'4187540273921415',378-13-3906,Nora-eve,Swallow,0,0,0,0,'4187540273921415',378-13-3906,Nora-eve,Swallow,0,0,0,0
'5228525874661646',902-70-6759,Bernadatte,Nardy,'5228525874661646',902-70-6759,Bernadatte,Nardy,0,0,0,0,'5228525874661646',902-70-6759,Bernadatte,Nardy,0,0,0,0
'7213432801704182',175-91-3980,Darcie,Stanfield,'721342801704182',175-91-3980,Darcie,Stanfield,1,2,0,0,'7213432801704182',175-91-3980,Darcie,Stanfield,0,0,0,0
'7404555819973939',114-22-0106,Dominga,,'7404555819973939',114-22-0106,Dominga,,0,0,0,0,'7404555819973939',114-22-0106,Dominga,,0,0,0,0
'4261221445450850',338-78-0710,Taura,Edwards-walker,'4261221445450850',338-78-0710,Taura,Edwards-walker,0,0,0,0,'4261221445450850',338-78-0710,Taura,Edwards-walker,0,0,0,0
'7053148935392089',961-84-3895,Brenden,Lindholm,'705314893539208',961-84-3895,Brenden,Lindholm,1,256,0,0,'7053148935392089',961-84-3895,Brenden,Lindholm,0,0,0,0
'4765112201498196',330-38-2649,Vera,Laurente,'4761512201498196',330-32-8649,Vera,Laurente,1,4,4,4,'4765112201498196',330-38-2649,Vera,Laurente,0,0,0,0
'5183415074713709',330-38-2649,Vera,Laurente,'5183415074713709',330-32-8649,Vera,Laurente,0,0,4,4,'5183415074713709',330-38-2649,Vera,Laurente,0,0,0,0
'7934369152097306',573-30-1535,Dianna,Couts,'7934369152097306',573-30-1535,Dianna,Couts,0,0,0,0,'7934369152097306',573-30-1535,Dianna,Couts,0,0,0,0
'5880585420586223',817-11-0079,Alexza,Beyer,'5880585420586223',817-11-0079,Alexza,Beyer,0,0,0,0,'5880585420586223',817-11-0079,Alexza,Beyer,0,0,0,0
'4351795577347281',796-68-5862,Nerisha,Dicpetris,'4351795577347281',796-68-5862,Nerisha,Dicpetris,0,0,0,0,'4351795577347281',796-68-5862,Nerisha,Dicpetris,0,0,0,0
'7035654374713034',796-68-5862,Nerisha,Dicpetris,'7035654374713034',796-68-5862,Nerisha,Dicpetris,0,0,0,0,'7035654374713034',796-68-5862,Nerisha,Dicpetris,0,0,0,0
'4766270782593769',796-68-5862,Nerisha,Dicpetris,'4766720782593769',796-68-5862,Nerisha,Dicpetris,1,4,0,0,'4766270782593769',796-68-5862,Nerisha,Dicpetris,0,0,0,0
'4236813078184312',537-69-3504,Shanda,Bilagot,'4236813078184312',537-69-3504,Shanda,Bilagot,0,0,0,0,'4236813078184312',537-69-3504,Shanda,Bilagot,0,0,0,0
'7878604059455089',771-66-9572,Malvina,Bradshaw,'7878604059455089',771-66-9572,Malvina,Bradshaw,0,0,0,0,'7878604059455089',771-66-9572,Malvina,Bradshaw,0,0,0,0
'4672902195891739',070-24-4946,Patsie,Vespie,'4672902195891739',070-24-4946,Pat,Vespie,0,0,1,16,'4672902195891739',070-24-4946,Patsie,Vespie,0,0,0,0
'7490186122012078',070-24-4946,Patsie,Vespie,'7490186122012078',070-24-4946,Pat,Vespie,0,0,1,16,'7490186122012078',070-24-4946,Patsie,Vespie,0,0,0,0
'7541423375933043',272-95-9226,Adetokunbo,Strawn,'7541423375933043',272-95-9226,Adetokunbo,Strawn,0,0,0,0,'7541423375933043',272-95-9226,Adetokunbo,Strawn,0,0,0,0
'5749797462678185',451-29-5194,,Brust,'5749797462678185',451-29-5194,,Brust,0,0,0,0,'5749797462678185',451-29-5194,,Brust,0,0,0,0
'4259078867941439',598-64-2438,Jena,Feger,'4259078867941439',598-64-2438,Jena,Feger,0,0,0,0,'4259078867941439',598-64-2438,Jena,Feger,0,0,0,0
'7923535811758146',484-06-3094,Lannie,Lupien,'7923535811758146',484-06-3094,Lannie,Lupien,0,0,0,0,'7923535811758146',484-06-3094,Lannie,Lupien,0,0,0,0
'5720638735003931',244-58-3805,,Berutti,'5720638735003931',44-58-3805,,Berutti,0,0,4,128,'5720638735003931',244-58-3805,,Berutti,0,0,0,0
'4675190050283134',026-27-9736,Wyetha,Blasy,'4675190050283134',026-2R7-9736,Wyetha,Blasy,0,0,4,2048,'4675190050283134',026-27-9736,Wyetha,Blasy,0,0,0,0
'4953466897035963',179-95-0617,Idalberto,Caskey,'4953466897035963',179-95-0617,Idalberto,Caskey,0,0,0,0,'4953466897035963',179-95-0617,Idalberto,Caskey,0,0,0,0
'4119139619311088',539-65-0832,Doreatha,Casseus,'4119139619311088',539-65-0832,Casseus,Doreatha,0,0,3,32,'4119139619311088',539-65-0832,Doreatha,Casseus,0,0,0,0
'4880786406028797',393-30-1737,Kiosha,Giamella,'4880786406028797',393-30-1737,Kiosha,Giamella,0,0,0,0,'4880786406028797',393-30-1737,Kiosha,Giamella,0,0,0,0
'7632306106213078',393-30-1737,Kiosha,Giamella,'7632306106213078',393-30-1737,Kiosha,Giamella,0,0,0,0,'7632306106213078',393-30-1737,Kiosha,Giamella,0,0,0,0
'4844712093610222',851-59-1301,Chen,Halligan,'4847412093610222',851-59-3101,Chen,Halligan,1,4,4,4,'4844712093610222',851-59-1301,Chen,Halligan,0,0,0,0
'5296543415962670',851-59-1301,Chen,Halligan,'5296543415962670',851-59-3101,Chen,Halligan,0,0,4,4,'5296543415962670',851-59-1301,Chen,Halligan,0,0,0,0
'5533608267976909',851-59-1301,Chen,Halligan,'5533608267976909',851-59-3101,Chen,Halligan,0,0,4,4,'5533608267976909',851-59-1301,Chen,Halligan,0,0,0,0
'4738073975919679',800-51-6073,Arrieanna,Jaber,'4738073975919679',800-51-6073,Arrieanna,Jaber,0,0,0,0,'4738073975919679',800-51-6073,Arrieanna,Jaber,0,0,0,0
'7182281926506849',019-52-9136,Ajita,Waligora,'7182281926506849',019-52-9136,Ajita,Waligora,0,0,0,0,'7182281926506849',019-52-9136,Ajita,Waligora,0,0,0,0
'4615026150834663',144-92-1210,Otela,Weisman,'4615026150834663',144-92-1210,Otela,Weisman,0,0,0,0,'4615026150834663',144-92-1210,Otela,Weisman,0,0,0,0
'5236724338717733',106-14-9636,Antonietta,Tabanelli,'5236724338717733',106-14-9636,Antonietta,Tabanelli,0,0,0,0,'5236724338717733',106-14-9636,Antonietta,Tabanelli,0,0,0,0
'5973771619245907',999-95-8314,Haylan,Vacchio,'5973771619245907',999-95-8134,Haylan,Vacchio,0,0,4,4,'5973771619245907',999-95-8314,Haylan,Vacchio,0,0,0,0
'7523155939104803',999-95-8314,Haylan,Vacchio,'7523155939104803',999-95-8134,Haylan,Vacchio,0,0,4,4,'7523155939104803',999-95-8314,Haylan,Vacchio,0,0,0,0
'7521405575947538',086-18-7260,Alexandria,Wu,'7521405575947538',086-18-7260,Alexandria,Wu,0,0,0,0,'7521405575947538',086-18-7260,Alexandria,Wu,0,0,0,0
'5010292026806876',371-73-0403,Almeda,Rodrigo,'5010292026806876',371-37-0403,Almeda,Rodrigo,0,0,4,4,'5010292026806876',371-73-0403,Almeda,Rodrigo,0,0,0,0
'7495237380242015',755-85-4342,Marion,Bourdon,'7495237380242015',755-85-4342,Marion,Bourdon,0,0,0,0,'7495237380242015',755-85-4342,Marion,Bourdon,0,0,0,0
'4772968690091857',628-22-0618,Leeta,Pruiett,'4772968690091857',622-82-0618,Leeta,Pruiett,0,0,4,4,'4772968690091857',628-22-0618,Leeta,Pruiett,0,0,0,0
'4491777586424244',842-64-6512,Hecter,Mazzotta,'4491777586424244',842-64-6512,Hecter,Mazzotta,0,0,0,0,'4491777586424244',842-64-6512,Hecter,Mazzotta,0,0,0,0
'5574490700869134',177-60-7897,Gottfried,Cladd,'5574490700869134',177-60-7897,Gottfried,Cladd,0,0,0,0,'5574490700869134',177-60-7897,Gottfried,Cladd,0,0,0,0
'5681206916711627',021-90-0777,Dodie,Sipe,'5681206916711627',019-00-777,Dodie,Sipe,0,0,4,2,'5681206916711627',021-90-0777,Dodie,Sipe,0,0,0,0
'4999294607709413',585-52-7351,Lonita,Hepworth,'4999294607709413',585-52-7351,Lonita,Hepworth,0,0,0,0,'4999294607709413',585-52-7351,Lonita,Hepworth,0,0,0,0
'4430939149111837',551-83-3911,Shelina,Cintron,'4430939149111837',551-83-3911,Shelina,Cintron-Butts,0,0,2,1024,'4430939149111837',551-83-3911,Shelina,Cintron,0,0,0,0
'5944038472259112',879-55-9101,Sequita,Tempel,'5944038472259112',879-55-9101,S,Tempel,0,0,1,1,'5944038472259112',879-55-9101,Sequita,Tempel,0,0,0,0
'7687053789221209',142-89-1845,Ping,Alayon,'7687053789221209',142-89-1845,Ping,Alayon,0,0,0,0,'7687053789221209',142-89-1845,Ping,Alayon,0,0,0,0
'4054857246831142',127-02-5617,Alphus,Schackleford,'4054857246831142',127-02-5617,Alphus,marcos,0,0,2,512,'4054857246831142',127-02-5617,Alphus,Schackleford,0,0,0,0
'5103432589893736',835-50-2121,Charlyne,Little,'5103432589893736',835-50-2121,Charlyne,Little,0,0,0,0,'5103432589893736',835-50-2121,Charlyne,Little,0,0,0,0
'4951968204503506',068-34-9511,Agatha,Nnadi,'4951968205403506',068-34-9511,Agatha,Nnadi,1,4,0,0,'4951968204503506',068-34-9511,Agatha,Nnadi,0,0,0,0
'4499783374322374',043-05-9736,Dilaila,Alessandri,'4499783374322374',43-05-9736,Dilaila,Alessandri,0,0,4,128,'4499783374322374',043-05-9736,Dilaila,Alessandri,0,0,0,0
'7834947309326113',299-20-0778,,Ocampo,'7834947303926113',299-20-0778,,Ocampo,1,4,0,0,'7834947309326113',299-20-0778,,Ocampo,0,0,0,0
'7823068187424974',555-68-8052,Dorie,Leis,'7823068187424974',555-68-8052,Dorie,Leis,0,0,0,0,'7823068187424974',555-68-8052,Dorie,Leis,0,0,0,0
'5054435227616026',706-21-5360,Saudia,Wolin,'5054435272616026',706-21-5630,Saudia,Wolin,1,4,4,4,'5054435227616026',706-21-5360,Saudia,Wolin,0,0,0,0
'7021124146628867',218-62-8021,Trula,Julmice,'7012124146628867',216-82-8021,Trula,Julmice,1,4,4,4,'7021124146628867',218-62-8021,Trula,Julmice,0,0,0,0
'4708354407895947',088-78-7095,Willola,Boggs,'4708354407895947',088-78-7095,Willola,Boggs,0,0,0,0,'4708354407895947',088-78-7095,Willola,Boggs,0,0,0,0
'7487034952496928',088-78-7095,Willola,Boggs,'7487034952496928',088-78-7095,Willola,Boggs,0,0,0,0,'7487034952496928',088-78-7095,Willola,Boggs,0,0,0,0
'4153960394517600',859-23-4369,Jenice,Darsan,'4153960394517060',859-32-4369,Jenice,Darsan,1,4,4,4,'4153960394517600',859-23-4369,Jenice,Darsan,0,0,0,0
'5619264568695358',384-73-6220,Berrie,Cothran,'5619264568695358',384-7P3-6220,Berrie,Cothran,0,0,4,2048,'5619264568695358',384-73-6220,Berrie,Cothran,0,0,0,0
'4115570884313190',325-53-0328,,Marina,'4115570884313190',325-53-0328,,Marina,0,0,0,0,'4115570884313190',325-53-0328,,Marina,0,0,0,0
'5025272643264852',785-10-9802,Imani,Baughman,'5025272643264852',785-10-9802,Imani,Baughman,0,0,0,0,'5025272643264852',785-10-9802,Imani,Baughman,0,0,0,0
'4178780324304059',772-85-1153,Philip,Amankwaa,'4178780324304059',772-85-1153,Phil,Amankwaa,0,0,1,16,'4178780324304059',772-85-1153,Philip,Amankwaa,0,0,0,0
'7649425590586798',893-51-2335,Milisha,Warrick,'7649425590568798',893-51-2335,Milisha,Warrick,1,4,0,0,'7649425590586798',893-51-2335,Milisha,Warrick,0,0,0,0
'5232434434881951',254-50-9460,Louanne,Marcy,'5232434434881951',254-50-9460,Louanne,Marcy,0,0,0,0,'5232434434881951',254-50-9460,Louanne,Marcy,0,0,0,0
'5627440478716750',254-50-9460,Louanne,Marcy,'5627440478716750',254-50-9460,Louanne,Marcy,0,0,0,0,'5627440478716750',254-50-9460,Louanne,Marcy,0,0,0,0
'7059832310832758',131-61-0436,Lanell,Segundo,'7059832310832758',131-61-0436,Lanell,Segundo,0,0,0,0,'7059832310832758',131-61-0436,Lanell,Segundo,0,0,0,0
'4039356923179561',417-58-7713,Patsey,Hegwood,'4039356923179561',417-58-7713,P,Hegwood,0,0,1,1,'4039356923179561',417-58-7713,Patsey,Hegwood,0,0,0,0
'5928898317337652',916-20-4874,Mariano,Fryer,'5928898317337652',916-20-4874,Mariano,Fryer,0,0,0,0,'5928898317337652',916-20-4874,Mariano,Fryer,0,0,0,0
'4074620327909337',074-25-0869,,Brainard,'4074620327909337',074-25-0869,,Brainard,0,0,0,0,'4074620327909337',074-25-0869,,Brainard,0,0,0,0
'4807975947078081',847-60-5690,,Paster,'4807975947078081',847-60-5690,,Paster,0,0,0,0,'4807975947078081',847-60-5690,,Paster,0,0,0,0
'4712601601955953',455-99-9226,Akin,Nashed,'4712601601955953',455-99-9226,Akin,Nashed,0,0,0,0,'4712601601955953',455-99-9226,Akin,Nashed,0,0,0,0
'7616331674556417',455-99-9226,Akin,Nashed,'7616331674556417',455-99-9226,Akin,Nashed,0,0,0,0,'7616331674556417',455-99-9226,Akin,Nashed,0,0,0,0
'4122043095350516',374-25-4684,Waldemar,Desilma,'4122043059350516',374-25-6484,Waldemar,Desilma,1,4,4,4,'4122043095350516',374-25-4684,Waldemar,Desilma,0,0,0,0
'5365409654815054',439-08-0923,Marti,Mijatovic,'5365409654815054',439-08-0923,Marti,Mijatovic,0,0,0,0,'5365409654815054',439-08-0923,Marti,Mijatovic,0,0,0,0
'7601206040831105',045-63-4028,Dewana,Semeniuk,'7601206040831105',045-64-3028,Dewana,Semeniuk,0,0,4,4,'7601206040831105',045-63-4028,Dewana,Semeniuk,0,0,0,0
'7012727964075408',637-09-8538,Ilene,Jordahl,'7017227964075408',637-09-8538,Ilene,Jordahl,1,4,0,0,'7012727964075408',637-09-8538,Ilene,Jordahl,0,0,0,0
'7362281702631767',296-82-6284,Elvis,Espinal,'736228W1702631767',296-82-6284,Elvis,Espinal,1,2048,0,0,'7362281702631767',296-82-6284,Elvis,Espinal,0,0,0,0
'7436246232487607',766-09-7328,Mariluz,,'7436246232487607',766-09-7328,Mariluz,,0,0,0,0,'7436246232487607',766-09-7328,Mariluz,,0,0,0,0
